impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K24-173456,A719055,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719055,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Alfred,Cat,14 WEEKS,Male,Domestic Shorthair,Brn Tabby / White,29-Oct-24,Received on,28600 block of  132ND AVE SE,KENT,WA,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719055,Image Copyright HLP Inc. 2024,"Received on: 2024-10-29<p/> Found Near: 28600 block of  132ND AVE SE<p/> Description: Brn Tabby / White Male Domestic Shorthair Cat<p/> Age: 14 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-173595,A719355,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719355,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mercer,Cat,2 YEARS,Neutered Male,Domestic Longhair,Black,1-Nov-24,Received on,30100 block of  46TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719355,Image Copyright HLP Inc. 2024,"Received on: 2024-11-01<p/> Found Near: 30100 block of  46TH AVE S<p/> Description: Black Neutered Male Domestic Longhair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-173062,A718346,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Grey,Deceased Cat,NO AGE,Male,Domestic Shorthair,Gray Tabby / White,19-Oct-24,Received on,14700 block of  26TH PL S,SEATAC,WA,98168,SEATAC,,,,Image Copyright HLP Inc. 2024,Received on: 2024-10-19<p/> Found Near: 14700 block of  26TH PL S<p/> Description: Gray Tabby / White Male Domestic Shorthair Cat<p/> Age: NO AGE<p/>,
K24-172196,A716895,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2850351,In Public Home,,Dog,Under 1 year<p/>,Female,Yorkshire Terrier,Brown,24-Sep-24,Date Found,42nd  Ave S & S 158th St,Tukwila,,98188,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2850351,Image Copyright HLP Inc. 2024,"Description: Fur trimmed short. Possibly a puppy, very small and skinny<p/>Age: Under 1 year<p/>Found Near: 42nd Ave s and s 158th st, tukwila, Seattle WA  98188<p/>Found Date: 2024-09-24<p/>",
K24-173605,A719371,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A719371,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Spirit,Dog,6 YEARS,Neutered Male,Pit Bull,Brown / White,2-Nov-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719371,Image Copyright HLP Inc. 2024,"Received on: 2024-11-02<p/> Description: Brown / White<p/>  Neutered Male Pit Bull Dog<p/> Age: 6 YEARS<p/> Adoption Fee: $200<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Spirit and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 11/02/2024<p/><p/>I weigh 47lbs and am considered a ""large breed"" dog.<p/><p/>I am a very smart dog! At the shelter I am practicing how to ""sit.""<p/><p/>I am an affectionate lovebug who likes to do my own thing! Once I know you're where the love comes from, I will me stuck to you like glue!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home with older children.<p/>",
K24-172718,A717803,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2856462,LOST,Elvis (uncle,Dog,Over 1 year<p/>,Male,Shih Tzu,Unknown,27-Sep-24,Date Lost,COMPASS  CENTER PIONEER SQUARE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2856462,Image Copyright HLP Inc. 2024,"Description: Male, neutered, black/grey/white, cataract right eye, 18-20lbs, gimp rear leg<p/>Age: Over 1 year<p/>Location Lost: Compass Center Pioneer Square, Seattle WA  98107<p/>Lost Date: 2024-09-27<p/>",
K24-172830,A717964,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2857746,In Public Home,,Dog,Under 1 year<p/>,Female,Chihuahua - Smooth Coated,Brown,11-Oct-24,Date Found,SE  292ND ST AND 124TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2857746,Image Copyright HLP Inc. 2024,"Description: Female puppy Found running in neighborhood with harness and leash attached. <p/>Age: Under 1 year<p/>Found Near: SE 292nd st and 124th ave se, Auburn WA  98092<p/>Found Date: 2024-10-11<p/>",
K24-173602,A719367,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2867027,LOST,Peter Bozoti,Cat,Over 1 year<p/>,Male,American Shorthair,Unknown,1-Nov-24,Date Lost,300 block of  S St SE,Auburn,,98002,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2867027,Image Copyright HLP Inc. 2024,"Description: Orange tabby, skinny as a skeleton, orange spot on his nose.<p/>Age: Over 1 year<p/>Location Lost: 143rd Ave SE & SE 266th St, Kent WA  98042<p/>Lost Date: 2024-11-01<p/>",
K24-172883,A718053,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2858782,LOST,Mischief,Cat,Over 1 year<p/>,Male,Russian Blue,Unknown,6-Oct-24,Date Lost,S  176TH ST & 32ND AVE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2858782,Image Copyright HLP Inc. 2024,"Description: Very friendly,  but timid when in unfamiliar surroundings.<p/>Age: Over 1 year<p/>Location Lost: S 176th St & 32nd Ave S, Seattle WA  98188<p/>Lost Date: 2024-10-06<p/>",
K24-172785,A717890,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2857216,LOST,Tom,Cat,Unknown<p/>,Male,Domestic Shorthair,Unknown,2-Oct-24,Date Lost,51ST  PLACE S & S 288TH ST,Auburn,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2857216,Image Copyright HLP Inc. 2024,"Description: Tom is grey and white with a perfect shape of a spade on his face ??<p/>Age: Unknown<p/>Location Lost: 51st & 288th , Auburn WA  98001<p/>Lost Date: 2024-10-02<p/>",
